symbol,face_value,book_value,roce_pct,roe_pct,fiscal_year,period_name,market_cap,current_price,stock_pe,dividend_yield,interest_coverage
ABB,10.0,1657.0,46.0,34.9,2024.0,Mar 2024,,,,,
ADANIENSOL,10.0,175.0,9.0,8.59,2024.0,Mar 2024,,,,,
ADANIENT,1.0,363.0,11.6,13.64,2024.0,Mar 2024,,,,,
ADANIGREEN,10.0,67.0,96.5,14.7,2024.0,Mar 2024,,,,,
ADANIPORTS,2.0,265.0,12.9,18.1,2024.0,Mar 2024,,,,,
ADANIPOWER,10.0,145.0,32.2,57.1,2024.0,Mar 2024,,,,,
AMBUJACEM,2.0,205.0,12.8,9.24,2024.0,Mar 2024,,,,,
APOLLOHOSP,5.0,522.0,17.2,13.81,2024.0,Mar 2024,,,,,
ASIANPAINT,1.0,188.0,41.75,31.45,2024.0,Mar 2024,,,,,
ATGL,1.0,36.0,21.2,20.5,2024.0,Mar 2024,,,,,
AXISBANK,2.0,509.0,7.06,18.4,2024.0,Mar 2024,,,,,
BAJAJ-AUTO,10.0,1109.0,33.5,26.5,2024.0,Mar 2024,,,,,
BAJAJFINSV,1.0,428.0,21.14,11.72,2024.0,Mar 2024,,,,,
BAJAJHLDNG,10.0,5375.0,13.1,14.8,2024.0,Mar 2024,,,,,
BAJFINANCE,2.0,1402.0,11.9,22.1,2024.0,Mar 2024,,,,,
BANKBARODA,2.0,231.0,6.33,16.7,2024.0,Mar 2024,,,,,
BEL,1.0,24.0,34.6,26.3,2024.0,Mar 2024,,,,,
BHARTIARTL,5.0,153.0,13.1,14.9,2024.0,Mar 2024,,,,,
BHEL,2.0,70.0,3.28,1.05,2024.0,Mar 2024,,,,,
BOSCHLTD,10.0,4319.0,20.6,16.0,2024.0,Mar 2024,,,,,
BPCL,10.0,178.0,32.1,41.9,2024.0,Mar 2024,,,,,
BRITANNIA,1.0,133.0,48.9,57.1,2024.0,Mar 2024,,,,,
CANBK,2.0,102.0,6.63,17.9,2024.0,Mar 2024,,,,,
CHOLAFIN,2.0,255.0,10.4,20.2,2024.0,Mar 2024,,,,,
CIPLA,2.0,351.0,22.8,16.8,2024.0,Mar 2024,,,,,
COALINDIA,10.0,156.0,63.6,52.0,2024.0,Mar 2024,,,,,
DABUR,1.0,59.0,22.3,19.2,2024.0,Mar 2024,,,,,
DIVISLAB,2.0,517.0,16.5,12.2,2024.0,Mar 2024,,,,,
DLF,2.0,163.0,5.74,6.95,2024.0,Mar 2024,,,,,
DMART,10.0,309.0,19.4,14.5,2024.0,Mar 2024,,,,,
DRREDDY,1.0,369.0,26.5,21.4,2024.0,Mar 2024,,,,,
EICHERMOT,1.0,693.0,31.1,24.2,2024.0,Mar 2024,,,,,
GAIL,10.0,127.0,14.7,14.0,2024.0,Mar 2024,,,,,
GODREJCP,1.0,119.0,26.49,6.77,2024.0,Mar 2024,,,,,
GRASIM,2.0,1411.0,9.3,6.9,2024.0,Mar 2024,,,,,
HAL,5.0,465.0,38.9,28.9,2024.0,Mar 2024,,,,,
HAVELLS,1.0,124.0,24.4,18.0,2024.0,Mar 2024,,,,,
HCLTECH,2.0,254.0,29.6,23.3,2024.0,Mar 2024,,,,,
HDFCBANK,1.0,601.0,7.67,17.1,2024.0,Mar 2024,,,,,
HDFCLIFE,10.0,73.0,6.61,11.4,2024.0,Mar 2024,,,,,
HEROMOTOCO,2.0,951.0,29.1,22.0,2024.0,Mar 2024,,,,,
HINDALCO,1.0,153.0,11.3,10.2,2024.0,Mar 2024,,,,,
HINDUNILVR,1.0,216.0,27.2,20.2,2024.0,Mar 2024,,,,,
ICICIBANK,2.0,365.0,7.6,18.8,2024.0,Mar 2024,,,,,
ICICIGI,10.0,275.0,22.5,17.0,2024.0,Mar 2024,,,,,
ICICIPRULI,10.0,80.0,8.75,8.07,2024.0,Mar 2024,,,,,
INDIGO,10.0,97.0,24.5,,2024.0,Mar 2024,,,,,
INDUSINDBK,10.0,807.0,7.93,15.2,2024.0,Mar 2024,,,,,
INFY,5.0,218.0,40.0,31.8,2024.0,Mar 2024,,,,,
IOC,10.0,129.0,21.31,25.44,2024.0,Mar 2024,,,,,
IRCTC,2.0,44.0,53.8,40.4,2024.0,Mar 2024,,,,,
IRFC,10.0,39.0,5.73,13.7,2024.0,Mar 2024,,,,,
ITC,1.0,60.0,34.76,29.47,2024.0,Mar 2024,,,,,
JINDALSTEL,1.0,464.0,13.2,14.1,2024.0,Mar 2024,,,,,
JIOFIN,10.0,216.0,2.16,1.82,2024.0,Mar 2024,,,,,
JSWENERGY,10.0,160.0,8.59,8.4,2024.0,Mar 2024,,,,,
JSWSTEEL,1.0,326.0,13.36,11.66,2024.0,Mar 2024,,,,,
KOTAKBANK,5.0,654.0,7.86,15.1,2024.0,Mar 2024,,,,,
LICI,10.0,154.0,63.79,63.61,2024.0,Mar 2024,,,,,
LODHA,10.0,183.0,11.1,10.7,2024.0,Mar 2024,,,,,
LT,2.0,635.0,17.18,10.49,2024.0,Mar 2024,,,,,
LTIM,1.0,711.0,34.1,26.04,2024.0,Mar 2024,,,,,
M&M,5.0,567.0,26.98,17.99,2024.0,Mar 2024,,,,,
MARUTI,5.0,2835.0,23.67,15.75,2024.0,Mar 2024,,,,,
MOTHERSON,1.0,46.0,13.7,11.8,2024.0,Mar 2024,,,,,
NAUKRI,10.0,3225.0,3.65,2.44,2024.0,Mar 2024,,,,,
NESTLEIND,1.0,41.0,185.43,135.61,2024.0,Mar 2024,,,,,
NHPC,10.0,40.0,7.67,9.61,2024.0,Mar 2024,,,,,
NTPC,10.0,174.0,10.58,12.52,2024.0,Mar 2024,,,,,
ONGC,5.0,275.0,19.71,14.32,2024.0,Mar 2024,,,,,
PFC,10.0,333.0,9.96,19.49,2024.0,Mar 2024,,,,,
PIDILITIND,1.0,171.0,29.7,22.8,2024.0,Mar 2024,,,,,
PNB,2.0,110.0,1.63,8.7,2024.0,Mar 2024,,,,,
POWERGRID,10.0,99.0,13.2,19.0,2024.0,Mar 2024,,,,,
RECLTD,10.0,279.0,10.0,22.2,2024.0,Mar 2024,,,,,
RELIANCE,10.0,606.0,9.61,9.25,2024.0,Mar 2024,,,,,
SBILIFE,10.0,162.0,13.2,12.0,2024.0,Mar 2024,,,,,
SBIN,1.0,465.0,6.16,17.3,2024.0,Mar 2024,,,,,
SHREECEM,10.0,5787.0,14.8,12.2,2024.0,Mar 2024,,,,,
SHRIRAMFIN,2.0,279.0,11.3,15.9,2024.0,Mar 2024,,,,,
SIEMENS,2.0,431.0,25.6,19.1,2024.0,Sep 2024,,,,,
SUNPHARMA,1.0,288.0,17.3,16.7,2024.0,Mar 2024,,,,,
TATACONSUM,1.0,193.0,10.6,8.32,2024.0,Mar 2024,,,,,
TATAMOTORS,2.0,275.0,20.1,49.4,2024.0,Mar 2024,,,,,
TATAPOWER,1.0,105.0,11.1,11.3,2024.0,Mar 2024,,,,,
TATASTEEL,1.0,72.0,7.02,6.55,2024.0,Mar 2024,,,,,
TCS,1.0,281.0,64.3,0.52,2024.0,Mar 2024,,,,,
TECHM,5.0,270.0,11.9,8.63,2024.0,Mar 2024,,,,,
TITAN,1.0,110.0,22.7,32.9,2024.0,Mar 2024,,,,,
TORNTPHARM,5.0,222.0,23.2,24.2,2024.0,Mar 2024,,,,,
TRENT,1.0,132.0,23.8,27.2,2024.0,Mar 2024,,,,,
TVSMOTOR,,,,,2024.0,Mar 2024,,,,,
